Code,Name,Industry Code,Industry,No. of Listed Shares(shr.),Capital Stock(KRW),ParValue,Currency,
086960,MDS Tech,105802,Software Development and Supply,"8,815,608","4,838,225,000",500,KRW,1679
041920,MEDIANA,032701,Manufacture of Medical Appliances and Instruments,"7,220,780","3,610,390,000",500,KRW,246
078160,MEDIPOST,032101,"Manufacture of Medicinal Chemicals, Antibiotics and Biological Products","7,556,745","3,783,751,000",500,KRW,279
096640,MELFAS,032602,Manufacture of Electronic Components,"17,977,151","8,988,575,500",500,KRW,988
138040,MERITZ FINANCIAL,116409,Other Financial Intermediation,"142,885,818","71,442,909,000",500,KRW,1769
008560,MERITZ SECU,116601,Activities Auxiliary to Financial Service Activities,"378,644,328","378,644,328,000","1,000",KRW,636
059210,META,032103,Manufacture of Pharmaceutical Goods Other Than Medicaments,"21,519,436","10,759,718,000",500,KRW,107
058630,MGAME,105802,Software Development and Supply,"19,107,750","9,553,875,000",500,KRW,1272
032790,MGEN,074605,Wholesale of Machinery Equipment and Supplies,"7,976,547","3,988,273,500",500,KRW,807
180400,MGMED,137209,Other Scientific and Technical Services,"1,714,320","857,160,000",500,KRW,1916
023150,MHETHANOL,031101,Manufacture of  Alcoholic Beverages,"7,378,526","4,596,763,000",500,KRW,1043
003650,MICHANG OIL,031902,Manufacture of Refined Petroleum Products,"1,739,672","8,698,360,000","5,000",KRW,762
161570,MIDONG E&T,032605,Manufacture of Electronic Video and Audio Equipment,"9,000,000","4,500,000,000",500,KRW,1582
214180,MINWISE,106309,Other Information Service Activities,"5,682,814","2,841,407,000",500,KRW,1887
025560,MIRAE,032702,"Manufacture of Instruments and Appliances for Measuring, Checking, Testing, Navigating, controlling and Other Purposes, Except Optical Instruments","445,071,989","44,507,198,900",100,KRW,1872
085620,MIRAE ASSET LIFE,116501,Insurance,"145,180,000","725,900,000,000","5,000",KRW,96
037620,MIRAE ASSET SEC,116601,Activities Auxiliary to Financial Service Activities,"43,958,609","219,793,045,000","5,000",KRW,1258
215750,MIRAEASSET No.3 SPAC,116601,Activities Auxiliary to Financial Service Activities,"6,100,000","610,000,000",100,KRW,1895
134380,MIWON CHEMICALS,032004,Manufacture of Other Chemical Products,"2,347,435","2,347,435,000","1,000",KRW,499
002840,MIWON COMCL,032004,Manufacture of Other Chemical Products,"894,637","7,837,185,000","5,000",KRW,420
074150,MJB,064202,Building Installation,"27,217,003","13,608,501,500",500,KRW,1668
033160,MKElectron,032602,Manufacture of Electronic Components,"21,807,689","10,903,844,500",500,KRW,800
088980,MKIF,116402,Investment Companies,"331,459,341","1,670,985,754,511",0,KRW,1694
069640,MKTREND,074704,"Retail Sale of Textiles, Clothing, Footwear and Leather Goods","12,649,515","6,324,757,500",500,KRW,874
127160,MM,032602,Manufacture of Electronic Components,"4,025,000","2,012,500,000",500,KRW,1508
095500,MNtech,032202,Manufacture of Plastic Products,"23,289,533","11,644,766,500",500,KRW,1332
033200,MOATECH,032602,Manufacture of Electronic Components,"14,331,185","7,665,592,500",500,KRW,1084
101330,MOBASE,032604,Manufacture of Telecommunication and Broadcasting Apparatuses,"12,960,000","6,480,000,000",500,KRW,490
149940,MODACOM,032604,Manufacture of Telecommunication and Broadcasting Apparatuses,"9,816,000","4,908,000,000",500,KRW,1765
080160,MODETOUR,147502,Activities of Travel Agencies and Tour Operators and Tourist Assistance Activities,"12,600,000","6,300,000,000",500,KRW,474
012690,MONALISA,031709,Manufacture of Other Paper and Paperboard Products,"36,571,255","18,885,627,500",500,KRW,1400
005360,MONAMI,074604,Wholesale of Household Goods,"18,897,307","18,897,307,000","1,000",KRW,1107
008420,MOONBAE STL,032401,Manufacture of Basic Iron and Steel,"20,503,505","10,251,752,500",500,KRW,1048
009200,MOORIM PAPER,031701,"Manufacture of Pulp, Paper and Paperboard","41,609,310","104,023,275,000","2,500",KRW,1766
009680,MOTONIC,033003,Manufacture of Parts and Accessories for Motor Vehicles and Engines,"33,000,000","16,500,000,000",500,KRW,1018
050540,MPC,147509,Other Business Support Services,"20,286,141","10,143,070,500",500,KRW,195
065150,MPK,074603,"Wholesale of Food, Beverages and Tobaccos","80,808,407","8,080,840,700",100,KRW,1040
123040,"MS AUTOTECH CO., LTD",033003,Manufacture of Parts and Accessories for Motor Vehicles and Engines,"14,072,176","7,036,088,000",500,KRW,974
009780,MSC,031007,Manufacture of Other Food Products,"880,000","4,400,000,000","5,000",KRW,848
107590,MSC,032001,Manufacture of Basic Chemicals,"724,489","3,622,445,000","5,000",KRW,576
019590,MVENTURE,116402,Investment Companies,"74,875,820","37,437,910,000",500,KRW,1422
017180,MYUNGMOON PHARM,032102,Manufacture of Medicaments,"18,110,000","9,055,000,000",500,KRW,1458
038290,Macrogen,137309,"Other Professional, Scientific and Technical Services n.e.c.","8,894,258","4,447,129,000",500,KRW,289
035480,Majestar,032605,Manufacture of Electronic Video and Audio Equipment,"30,324,925","15,162,462,500",500,KRW,1010
065650,Medifron DBT,074605,Wholesale of Machinery Equipment and Supplies,"24,674,353","12,337,176,500",500,KRW,8
086900,MedyTox,032101,"Manufacture of Medicinal Chemicals, Antibiotics and Biological Products","5,656,535","2,828,267,500",500,KRW,176
000060,Meritz Insurance,116501,Insurance,"105,963,000","52,981,500,000",500,KRW,1105
140410,Mezzion Pharma,137001,Research and Experimental Development On Natural Sciences and Engineering,"8,148,000","4,074,000,000",500,KRW,418
059090,MiCo,032601,Manufacture of Semiconductor,"25,541,922","12,770,961,000",500,KRW,103
007120,MiraeING,106201,"Computer programming, System Integration and Management Services","53,522,468","26,761,234,000",500,KRW,811
100030,Mobileleader,105802,Software Development and Supply,"3,283,714","1,641,857,000",500,KRW,1283
006920,Mohenz,032303,"Manufacture of Cement, Lime and Plaster and Its Products","10,920,000","5,460,000,000",500,KRW,671
009580,Moorim P&P,031701,"Manufacture of Pulp, Paper and Paperboard","62,368,324","155,920,810,000","2,500",KRW,1034
033920,Muhak,031101,Manufacture of  Alcoholic Beverages,"28,100,000","5,620,000,000",200,KRW,348
054050,N.W BIO,010101,Growing of Crops,"14,300,000","7,150,000,000",500,KRW,156
153460,NABLE,105802,Software Development and Supply,"4,877,546","2,438,773,000",500,KRW,1589
025860,NAMHAE CHEM,032002,Manufacture of Fertilizers and Nitrogen Compounds,"49,678,843","49,678,843,000","1,000",KRW,713
001260,NAMKWANG ENG & CONS,064102,Heavy Construction,"6,987,183","36,198,120,000","5,000",KRW,1643
008350,NAMSUN ALUM,032402,Manufacture of Basic Precious and Non-ferrous Metals,"110,179,090","55,243,490,000",500,KRW,1464
004270,NAMSUNG,074607,Other Specialized Wholesale,"36,212,160","18,106,080,000",500,KRW,679
003920,NAMYANG DAIRY,031005,Manufacture of Dairy Products and edible Ice Cakes,"720,000","4,433,310,000","5,000",KRW,532
002070,NAMYEUNG,031401,"Manufacture of Sewn Wearing Apparel, Except Fur Apparel","6,867,945","6,867,945,000","1,000",KRW,1132
187790,NANO,032001,Manufacture of Basic Chemicals,"22,284,935","2,228,493,500",100,KRW,1615
214610,NANOBIOSYS,032701,Manufacture of Medical Appliances and Instruments,"3,224,202","1,612,101,000",500,KRW,1919
151910,NANOS,032703,"Manufacture of Spectacle, Photographic Equipment and Other Optical Instruments","12,065,263","6,032,631,500",500,KRW,1556
007460,NARA KIC,032509,Manufacture of Other Metal Products; Metal Working Service Activities,"11,425,527","5,712,763,500",500,KRW,1038
051490,NARA M&D,032902,Manufacture of Special-Purpose Machinery,"14,200,000","7,230,000,000",500,KRW,1313
007390,NATURECELL,031102,"Manufacture of Ice and Non-alcoholic Beverages, Production of Mineral Waters","47,225,942","23,612,971,000",500,KRW,854
035420,NAVER,106301,"Data Processing, Hosting, Portals and Other Internet Information Media Service Activities","32,962,679","16,481,339,500",500,KRW,1015
036570,NCsoft Corporation,106301,"Data Processing, Hosting, Portals and Other Internet Information Media Service Activities","21,929,022","10,964,511,000",500,KRW,305
101400,NEOFIDELITY,032601,Manufacture of Semiconductor,"8,404,690","4,202,345,000",500,KRW,1729
085910,NEOTIS,032902,Manufacture of Special-Purpose Machinery,"10,438,693","5,219,346,500",500,KRW,391
042420,NEOWIZ HOLDINGS,137105,"Activities of Head Offices, Holding Companies and Management Consultancy","9,156,866","4,653,433,000",500,KRW,789
033640,NEPES,032601,Manufacture of Semiconductor,"21,825,174","11,012,587,000",500,KRW,344
087730,NEPESAMC,032003,Manufacture of Synthetic Rubber and of Plastics in Primary Forms,"2,860,000","1,430,000,000",500,KRW,166
126870,NEUROS,032901,Manufacture of General Purpose Machinery,"7,137,039","3,568,519,500",500,KRW,1495
160550,NEW,105901,"Motion Picture, Video, Broadcasting Programmes Production and Distribution","13,703,053","6,851,526,500",500,KRW,1583
085670,NEWFLEX,032602,Manufacture of Electronic Components,"12,147,158","6,073,579,000",500,KRW,98
002350,NEXEN TIRE,032201,Manufacture of Rubber Products,"96,415,877","53,457,938,500",500,KRW,1130
073070,NEXENTECH,033003,Manufacture of Parts and Accessories for Motor Vehicles and Engines,"14,500,000","7,250,000,000",500,KRW,832
065170,NEXT BT,074603,"Wholesale of Food, Beverages and Tobaccos","37,543,575","18,771,787,500",500,KRW,33
089140,NEXTURN,032902,Manufacture of Special-Purpose Machinery,"5,800,000","2,900,000,000",500,KRW,140
207720,NH SL SPAC,116601,Activities Auxiliary to Financial Service Activities,"2,505,000","250,500,000",100,KRW,1811
206640,NH SPAC 2,116601,Activities Auxiliary to Financial Service Activities,"4,600,000","460,000,000",100,KRW,1827
198440,NH SPAC III,116601,Activities Auxiliary to Financial Service Activities,"7,000,000","700,000,000",100,KRW,1823
215790,NH SPAC V,116601,Activities Auxiliary to Financial Service Activities,"7,000,000","700,000,000",100,KRW,1885
217810,NH SPAC VII,116601,Activities Auxiliary to Financial Service Activities,"4,830,000","483,000,000",100,KRW,1889
218410,NH SPAC VIII,116601,Activities Auxiliary to Financial Service Activities,"6,830,000","683,000,000",100,KRW,1906
005940,NHIS,116601,Activities Auxiliary to Financial Service Activities,"281,408,887","1,531,275,030,000","5,000",KRW,623
181710,NHN Entertainment,105802,Software Development and Supply,"19,565,025","9,782,512,500",500,KRW,1633
008260,NI STEEL,032401,Manufacture of Basic Iron and Steel,"28,426,850","14,213,425,000",500,KRW,846
138610,NIBEC,032103,Manufacture of Pharmaceutical Goods Other Than Medicaments,"4,345,261","2,172,630,500",500,KRW,630
034310,NICE,137105,"Activities of Head Offices, Holding Companies and Management Consultancy","37,882,300","18,941,150,000",500,KRW,1735
030190,NICE  INFO,106309,Other Information Service Activities,"60,714,820","30,357,410,000",500,KRW,1507
130580,NICE D&B,147509,Other Business Support Services,"15,400,000","7,700,000,000",500,KRW,1551
063570,NICE TCM,147509,Other Business Support Services,"26,015,009","13,007,504,500",500,KRW,1334
036800,NICEI&T,106102,Telecommunications,"10,000,000","5,000,000,000",500,KRW,1521
063840,NICSTECH,105802,Software Development and Supply,"5,600,000","2,800,000,000",500,KRW,52
085310,NK,032501,"Manufacture of Structural Metal Products, Tanks, Reservoirs and Steam Generators","48,983,352","24,491,676,000",500,KRW,262
043910,NNE,053901,Remediation activities and other waste management services,"11,875,357","5,937,678,500",500,KRW,1344
004370,NONGSHIM,031007,Manufacture of Other Food Products,"6,082,642","30,413,210,000","5,000",KRW,704
000320,NOROO HOLDINGS,137105,"Activities of Head Offices, Holding Companies and Management Consultancy","13,198,611","8,500,200,500",500,KRW,1387
090350,NOROOPAINT,032004,Manufacture of Other Chemical Products,"20,000,000","10,231,563,000",500,KRW,119
004250,NPC,032202,Manufacture of Plastic Products,"36,720,000","21,000,000,000",500,KRW,661
048830,NPK,032003,Manufacture of Synthetic Rubber and of Plastics in Primary Forms,"12,923,923","6,461,961,500",500,KRW,1148
054340,NRK,032604,Manufacture of Telecommunication and Broadcasting Apparatuses,"16,800,000","8,400,000,000",500,KRW,115
138250,NS Shopping,074709,Retail Sale not in Stores,"3,369,600","16,848,000,000","5,000",KRW,1933
095300,NSV,032901,Manufacture of General Purpose Machinery,"10,956,275","5,478,137,500",500,KRW,1309
068150,NTPIA,064204,Interior and Building Completion,"55,432,667","27,716,333,500",500,KRW,852
012340,NUINTEK,032602,Manufacture of Electronic Components,"38,125,160","19,062,580,000",500,KRW,938
040160,NURI Telecom,105802,Software Development and Supply,"12,055,535","6,027,767,500",500,KRW,226
060260,NUVOTEC,032202,Manufacture of Plastic Products,"24,613,919","12,306,959,500",500,KRW,102
067570,NVH,033003,Manufacture of Parts and Accessories for Motor Vehicles and Engines,"28,722,222","14,361,111,000",500,KRW,1161
005720,NXN,137105,"Activities of Head Offices, Holding Companies and Management Consultancy","5,088,017","27,240,385,000","5,000",KRW,667
192240,NYCO,031709,Manufacture of Other Paper and Paperboard Products,"1,708,300","854,150,000",500,KRW,1598
091590,"Nam Hwa Const Co., Ltd.",064101,Building Construction,"11,740,000","5,870,000,000",500,KRW,56
091970,Nano Chem Tech,032202,Manufacture of Plastic Products,"10,080,000","5,040,000,000",500,KRW,54
039860,NanoenTek,032701,Manufacture of Medical Appliances and Instruments,"22,571,338","11,285,669,000",500,KRW,1254
089600,Nasmedia,137103,Advertising,"8,246,432","4,303,573,500",500,KRW,132
168330,NaturalendoTech,137001,Research and Experimental Development On Natural Sciences and Engineering,"19,476,432","9,738,216,000",500,KRW,1609
